"country","year","vaccine","stratum","Flat coverage","Increasing coverage","Flat + catchup campaigns","Increasing + catchup campaigns"
"Bangladesh",2025,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2025,"DTP1","urban_poor","84.2%","84.2%","84.2%","84.2%"
"Bangladesh",2025,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2025,"DTP3","urban_poor","83.3%","83.6%","83.3%","83.6%"
"Bangladesh",2025,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2025,"measles1","urban_poor","82.4%","83.0%","82.4%","83.0%"
"Bangladesh",2030,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2030,"DTP1","urban_poor","84.2%","84.2%","84.2%","84.2%"
"Bangladesh",2030,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2030,"DTP3","urban_poor","83.3%","84.2%","83.3%","84.2%"
"Bangladesh",2030,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2030,"measles1","urban_poor","82.4%","84.0%","82.4%","84.0%"
"Bangladesh",2040,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2040,"DTP1","urban_poor","84.2%","84.2%","84.2%","84.2%"
"Bangladesh",2040,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2040,"DTP3","urban_poor","83.3%","84.2%","83.3%","84.2%"
"Bangladesh",2040,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2040,"measles1","urban_poor","82.4%","84.2%","82.4%","84.2%"
"Bangladesh",2050,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2050,"DTP1","urban_poor","84.2%","84.2%","84.2%","84.2%"
"Bangladesh",2050,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2050,"DTP3","urban_poor","83.3%","84.2%","83.3%","84.2%"
"Bangladesh",2050,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2050,"measles1","urban_poor","82.4%","84.2%","82.4%","84.2%"
