"country","year","vaccine","stratum","Flat coverage","Increasing coverage","Flat + catchup campaigns","Increasing + catchup campaigns"
"Ethiopia",2025,"DTP1","urban_nonpoor","85.1%","88.1%","85.1%","88.1%"
"Ethiopia",2025,"DTP1","urban_poor","62.9%","65.1%","62.9%","65.1%"
"Ethiopia",2025,"DTP3","urban_nonpoor","72.4%","77.0%","72.4%","77.0%"
"Ethiopia",2025,"DTP3","urban_poor","53.6%","56.9%","53.6%","56.9%"
"Ethiopia",2025,"measles1","urban_nonpoor","63.2%","66.5%","63.2%","66.5%"
"Ethiopia",2025,"measles1","urban_poor","46.8%","49.1%","46.8%","49.1%"
"Ethiopia",2030,"DTP1","urban_nonpoor","85.1%","94.6%","85.1%","94.6%"
"Ethiopia",2030,"DTP1","urban_poor","62.9%","69.9%","62.9%","69.9%"
"Ethiopia",2030,"DTP3","urban_nonpoor","72.4%","87.2%","72.4%","87.2%"
"Ethiopia",2030,"DTP3","urban_poor","53.6%","64.4%","53.6%","64.4%"
"Ethiopia",2030,"measles1","urban_nonpoor","63.2%","74.2%","63.2%","74.2%"
"Ethiopia",2030,"measles1","urban_poor","46.8%","54.9%","46.8%","54.9%"
"Ethiopia",2040,"DTP1","urban_nonpoor","85.1%","99.0%","85.1%","99.0%"
"Ethiopia",2040,"DTP1","urban_poor","62.9%","76.8%","62.9%","76.8%"
"Ethiopia",2040,"DTP3","urban_nonpoor","72.4%","99.0%","72.4%","99.0%"
"Ethiopia",2040,"DTP3","urban_poor","53.6%","75.0%","53.6%","75.0%"
"Ethiopia",2040,"measles1","urban_nonpoor","63.2%","87.7%","63.2%","87.7%"
"Ethiopia",2040,"measles1","urban_poor","46.8%","64.8%","46.8%","64.8%"
"Ethiopia",2050,"DTP1","urban_nonpoor","85.1%","99.0%","85.1%","99.0%"
"Ethiopia",2050,"DTP1","urban_poor","62.9%","80.7%","62.9%","80.7%"
"Ethiopia",2050,"DTP3","urban_nonpoor","72.4%","99.0%","72.4%","99.0%"
"Ethiopia",2050,"DTP3","urban_poor","53.6%","80.5%","53.6%","80.5%"
"Ethiopia",2050,"measles1","urban_nonpoor","63.2%","97.8%","63.2%","97.8%"
"Ethiopia",2050,"measles1","urban_poor","46.8%","72.3%","46.8%","72.3%"
