"country","year","vaccine","stratum","Flat coverage","Increasing coverage","Flat + catchup campaigns","Increasing + catchup campaigns"
"Ethiopia",2025,"DTP","urban_nonpoor",35.5,28.4,35.5,28.4
"Ethiopia",2025,"DTP","urban_poor",39.4,37,39.4,37
"Ethiopia",2025,"Measles","urban_nonpoor",58.4,53.3,58.4,53.3
"Ethiopia",2025,"Measles","urban_poor",37.7,36,37.7,36
"Ethiopia",2030,"DTP","urban_nonpoor",46,16.6,46,16.6
"Ethiopia",2030,"DTP","urban_poor",51,41.3,51,41.3
"Ethiopia",2030,"Measles","urban_nonpoor",75.6,53.1,75.6,53.1
"Ethiopia",2030,"Measles","urban_poor",48.8,41.4,48.8,41.4
"Ethiopia",2040,"DTP","urban_nonpoor",72.5,4.9,72.5,4.9
"Ethiopia",2040,"DTP","urban_poor",80.4,50.3,80.4,50.3
"Ethiopia",2040,"Measles","urban_nonpoor",119.1,39.9,119.1,39.9
"Ethiopia",2040,"Measles","urban_poor",76.9,50.8,76.9,50.8
"Ethiopia",2050,"DTP","urban_nonpoor",0,0,0,0
"Ethiopia",2050,"DTP","urban_poor",0,0,0,0
"Ethiopia",2050,"Measles","urban_nonpoor",0,0,0,0
"Ethiopia",2050,"Measles","urban_poor",0,0,0,0
