"country","year","vaccine","stratum","Flat coverage","Increasing coverage","Flat + catchup campaigns","Increasing + catchup campaigns"
"India",2025,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2025,"DTP1","urban_poor","76.5%","77.8%","76.5%","77.8%"
"India",2025,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2025,"DTP3","urban_poor","73.9%","75.9%","73.9%","75.9%"
"India",2025,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2025,"measles1","urban_poor","73.9%","76.2%","73.9%","76.2%"
"India",2030,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2030,"DTP1","urban_poor","76.5%","80.2%","76.5%","80.2%"
"India",2030,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2030,"DTP3","urban_poor","73.9%","79.6%","73.9%","79.6%"
"India",2030,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2030,"measles1","urban_poor","73.9%","80.1%","73.9%","80.1%"
"India",2040,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2040,"DTP1","urban_poor","76.5%","83.0%","76.5%","83.0%"
"India",2040,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2040,"DTP3","urban_poor","73.9%","83.2%","73.9%","83.2%"
"India",2040,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2040,"measles1","urban_poor","73.9%","83.6%","73.9%","83.6%"
"India",2050,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2050,"DTP1","urban_poor","76.5%","84.1%","76.5%","84.1%"
"India",2050,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2050,"DTP3","urban_poor","73.9%","84.2%","73.9%","84.2%"
"India",2050,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2050,"measles1","urban_poor","73.9%","84.2%","73.9%","84.2%"
