"country","year","vaccine","stratum","Flat coverage","Increasing coverage","Flat + catchup campaigns","Increasing + catchup campaigns"
"Pakistan",2025,"DTP1","urban_nonpoor","94.3%","95.9%","94.3%","95.9%"
"Pakistan",2025,"DTP1","urban_poor","69.7%","70.9%","69.7%","70.9%"
"Pakistan",2025,"DTP3","urban_nonpoor","82.8%","84.8%","82.8%","84.8%"
"Pakistan",2025,"DTP3","urban_poor","61.2%","62.7%","61.2%","62.7%"
"Pakistan",2025,"measles1","urban_nonpoor","86.2%","88.4%","86.2%","88.4%"
"Pakistan",2025,"measles1","urban_poor","63.7%","65.3%","63.7%","65.3%"
"Pakistan",2030,"DTP1","urban_nonpoor","94.3%","99.0%","94.3%","99.0%"
"Pakistan",2030,"DTP1","urban_poor","69.7%","73.6%","69.7%","73.6%"
"Pakistan",2030,"DTP3","urban_nonpoor","82.8%","89.4%","82.8%","89.4%"
"Pakistan",2030,"DTP3","urban_poor","61.2%","66.1%","61.2%","66.1%"
"Pakistan",2030,"measles1","urban_nonpoor","86.2%","93.3%","86.2%","93.3%"
"Pakistan",2030,"measles1","urban_poor","63.7%","68.9%","63.7%","68.9%"
"Pakistan",2040,"DTP1","urban_nonpoor","94.3%","99.0%","94.3%","99.0%"
"Pakistan",2040,"DTP1","urban_poor","69.7%","77.7%","69.7%","77.7%"
"Pakistan",2040,"DTP3","urban_nonpoor","82.8%","97.1%","82.8%","97.1%"
"Pakistan",2040,"DTP3","urban_poor","61.2%","71.8%","61.2%","71.8%"
"Pakistan",2040,"measles1","urban_nonpoor","86.2%","99.0%","86.2%","99.0%"
"Pakistan",2040,"measles1","urban_poor","63.7%","74.6%","63.7%","74.6%"
"Pakistan",2050,"DTP1","urban_nonpoor","94.3%","99.0%","94.3%","99.0%"
"Pakistan",2050,"DTP1","urban_poor","69.7%","80.4%","69.7%","80.4%"
"Pakistan",2050,"DTP3","urban_nonpoor","82.8%","99.0%","82.8%","99.0%"
"Pakistan",2050,"DTP3","urban_poor","61.2%","76.0%","61.2%","76.0%"
"Pakistan",2050,"measles1","urban_nonpoor","86.2%","99.0%","86.2%","99.0%"
"Pakistan",2050,"measles1","urban_poor","63.7%","78.4%","63.7%","78.4%"
