"country","year","vaccine","stratum","Flat coverage","Increasing coverage","Flat + catchup campaigns","Increasing + catchup campaigns"
"Philippines",2025,"DTP1","urban_nonpoor","94.3%","93.6%","94.3%","93.6%"
"Philippines",2025,"DTP1","urban_poor","69.7%","69.2%","69.7%","69.2%"
"Philippines",2025,"DTP3","urban_nonpoor","85.1%","85.1%","85.1%","85.1%"
"Philippines",2025,"DTP3","urban_poor","62.9%","62.9%","62.9%","62.9%"
"Philippines",2025,"measles1","urban_nonpoor","92.0%","91.0%","92.0%","91.0%"
"Philippines",2025,"measles1","urban_poor","68.0%","67.3%","68.0%","67.3%"
"Philippines",2030,"DTP1","urban_nonpoor","94.3%","91.8%","94.3%","91.8%"
"Philippines",2030,"DTP1","urban_poor","69.7%","67.8%","69.7%","67.8%"
"Philippines",2030,"DTP3","urban_nonpoor","85.1%","85.1%","85.1%","85.1%"
"Philippines",2030,"DTP3","urban_poor","62.9%","62.9%","62.9%","62.9%"
"Philippines",2030,"measles1","urban_nonpoor","92.0%","88.4%","92.0%","88.4%"
"Philippines",2030,"measles1","urban_poor","68.0%","65.3%","68.0%","65.3%"
"Philippines",2040,"DTP1","urban_nonpoor","94.3%","87.8%","94.3%","87.8%"
"Philippines",2040,"DTP1","urban_poor","69.7%","64.9%","69.7%","64.9%"
"Philippines",2040,"DTP3","urban_nonpoor","85.1%","85.1%","85.1%","85.1%"
"Philippines",2040,"DTP3","urban_poor","62.9%","62.9%","62.9%","62.9%"
"Philippines",2040,"measles1","urban_nonpoor","92.0%","82.5%","92.0%","82.5%"
"Philippines",2040,"measles1","urban_poor","68.0%","61.0%","68.0%","61.0%"
"Philippines",2050,"DTP1","urban_nonpoor","94.3%","83.3%","94.3%","83.3%"
"Philippines",2050,"DTP1","urban_poor","69.7%","61.6%","69.7%","61.6%"
"Philippines",2050,"DTP3","urban_nonpoor","85.1%","85.1%","85.1%","85.1%"
"Philippines",2050,"DTP3","urban_poor","62.9%","62.9%","62.9%","62.9%"
"Philippines",2050,"measles1","urban_nonpoor","92.0%","75.9%","92.0%","75.9%"
"Philippines",2050,"measles1","urban_poor","68.0%","56.1%","68.0%","56.1%"
