"country","year","vaccine","stratum","Flat coverage","Increasing coverage","Flat + catchup campaigns","Increasing + catchup campaigns"
"Nigeria",2025,"DTP","urban_nonpoor",821.9,770.3,821.9,770.3
"Nigeria",2025,"DTP","urban_poor",763.9,737.4,763.9,737.4
"Nigeria",2025,"Measles","urban_nonpoor",649,617.2,649,617.2
"Nigeria",2025,"Measles","urban_poor",561.2,544.9,561.2,544.9
"Nigeria",2030,"DTP","urban_nonpoor",975.1,761.8,975.1,761.8
"Nigeria",2030,"DTP","urban_poor",906.3,796.7,906.3,796.7
"Nigeria",2030,"Measles","urban_nonpoor",769.9,636.4,769.9,636.4
"Nigeria",2030,"Measles","urban_poor",665.8,597.2,665.8,597.2
"Nigeria",2040,"DTP","urban_nonpoor",1239.9,606.7,1239.9,606.7
"Nigeria",2040,"DTP","urban_poor",1152.4,827,1152.4,827
"Nigeria",2040,"Measles","urban_nonpoor",979.1,568.3,979.1,568.3
"Nigeria",2040,"Measles","urban_poor",846.6,635.6,846.6,635.6
"Nigeria",2050,"DTP","urban_nonpoor",0,0,0,0
"Nigeria",2050,"DTP","urban_poor",0,0,0,0
"Nigeria",2050,"Measles","urban_nonpoor",0,0,0,0
"Nigeria",2050,"Measles","urban_poor",0,0,0,0
"Ethiopia",2025,"DTP","urban_nonpoor",35.5,28.4,35.5,28.4
"Ethiopia",2025,"DTP","urban_poor",39.4,37,39.4,37
"Ethiopia",2025,"Measles","urban_nonpoor",58.4,53.3,58.4,53.3
"Ethiopia",2025,"Measles","urban_poor",37.7,36,37.7,36
"Ethiopia",2030,"DTP","urban_nonpoor",46,16.6,46,16.6
"Ethiopia",2030,"DTP","urban_poor",51,41.3,51,41.3
"Ethiopia",2030,"Measles","urban_nonpoor",75.6,53.1,75.6,53.1
"Ethiopia",2030,"Measles","urban_poor",48.8,41.4,48.8,41.4
"Ethiopia",2040,"DTP","urban_nonpoor",72.5,4.9,72.5,4.9
"Ethiopia",2040,"DTP","urban_poor",80.4,50.3,80.4,50.3
"Ethiopia",2040,"Measles","urban_nonpoor",119.1,39.9,119.1,39.9
"Ethiopia",2040,"Measles","urban_poor",76.9,50.8,76.9,50.8
"Ethiopia",2050,"DTP","urban_nonpoor",0,0,0,0
"Ethiopia",2050,"DTP","urban_poor",0,0,0,0
"Ethiopia",2050,"Measles","urban_nonpoor",0,0,0,0
"Ethiopia",2050,"Measles","urban_poor",0,0,0,0
"India",2025,"DTP","urban_nonpoor",25.7,25.7,25.7,25.7
"India",2025,"DTP","urban_poor",509.5,482.2,509.5,482.2
"India",2025,"Measles","urban_nonpoor",17.2,17.2,17.2,17.2
"India",2025,"Measles","urban_poor",376.5,344.4,376.5,344.4
