country,vaccine,year,urban_rate,recent_year,recent_coverage_value,intercept,slope,new_intercept,logit_coverage,model_projected_coverage,projected_coverage,urban non-poor_proportion_of_children_percent,urban poor_proportion_of_children_percent,rural_proportion_of_children_percent,urban non-poor_zero_dose_percent,urban poor_zero_dose_percent,rural_zero_dose_percent,rural_proportion,urban poor_adjusted,urban non-poor_adjusted,avg_projected_coverage,urban_poor_coverage,urban_nonpoor_coverage,rural_coverage,method
Afghanistan,DTP1,2023,0.26978199999999997,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,0.708185057924486,0.67,0.67,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,73.0218,12.201758506224065,14.776441493775932,67,71.25754658150994,78.603685404346,64.37054143510112,historical_progress
Afghanistan,DTP1,2024,0.272956,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,0.742965021537107,0.6776438842547728,0.6776438842547728,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,72.7044,12.345312863070538,14.95028713692946,67.76438842547728,72.07050842979073,79.50045775244958,65.10493093979808,historical_progress
Afghanistan,DTP1,2025,0.27613,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,0.7777449851497279,0.6851939032328694,0.6851939032328694,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,72.387,12.488867219917012,15.12413278008299,68.51939032328694,72.87348727907882,80.38621792640652,65.83030229720907,historical_progress
Afghanistan,DTP1,2026,0.280082,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,0.8125249487623488,0.6926472944279315,0.6926472944279315,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,71.9918,12.667609128630705,15.340590871369294,69.26472944279315,73.66618932426142,81.26064183191724,66.5463900983341,historical_progress
Afghanistan,DTP1,2027,0.284034,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,0.8473049123749697,0.7000014809153422,0.7000014809153422,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,71.5966,12.846351037344398,15.557048962655605,70.00014809153421,74.44834049768795,82.12342714693413,67.25294676401967,historical_progress
Afghanistan,DTP1,2028,0.28798599999999996,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,0.8820848759875907,0.7072540722511489,0.7072540722511489,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,71.2014,13.02509294605809,15.773507053941907,70.72540722511489,75.21968656477438,82.97429342712225,67.94974263132326,historical_progress
Afghanistan,DTP1,2029,0.291938,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,0.9168648396002117,0.7144028647123422,0.7144028647123422,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,70.8062,13.203834854771785,15.989965145228217,71.44028647123422,75.979993149558,83.81298213404851,68.63656597659815,historical_progress
Afghanistan,DTP1,2030,0.29589,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,0.9516448032128326,0.7214458409021172,0.7214458409021172,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,70.411,13.382576763485476,16.206423236514524,72.14458409021172,76.72904569271526,84.63925658887146,69.31322297756881,historical_progress
Afghanistan,DTP1,2031,0.300668,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,0.9864247668254535,0.7283811687466826,0.7283811687466826,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,69.9332,13.598677178423237,16.468122821576763,72.83811687466826,77.46664934486773,85.4529018546479,69.97953761694882,historical_progress
Afghanistan,DTP1,2032,0.305446,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,1.0212047304380745,0.7352071999127606,0.7352071999127606,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,69.4554,13.814777593360995,16.729822406639006,73.52071999127607,78.19262879827616,86.25372455067576,70.63535153040154,historical_progress
Afghanistan,DTP1,2033,0.310224,2023,0.67,1.3777730415694083,0.03477996361262093,0.708185057924486,1.0559846940506954,0.7419224676771414,0.7419224676771414,0.132,0.109,0.759,0.14400000000000002,0.22399999999999998,0.299,68.9776,14.030878008298755,16.991521991701248,74.19224676771414,78.90682806025775,87.04155260255237,71.28052380185656,historical_progress
