country,year,vaccine,method,population,urban_poor_vaccinated,urban_nonpoor_vaccinated,rural_vaccinated,total_vaccinated,overall_coverage,urban_poor_coverage,urban_nonpoor_coverage,rural_coverage
Afghanistan,2024,DTP1,historical_progress,1384690.5,123200.47976956757,164578.0361548636,655431.4701387701,943209.9860632012,68.11702586702236,72.07050842979073,79.50045775244958,65.10493093979808
Afghanistan,2024,DTP1,static,1384690.5,121810.76722383025,162721.5810337064,648038.1439226174,932570.4921801541,67.34865965933572,71.25754658150994,78.603685404346,64.37054143510112
Afghanistan,2024,DTP3,historical_progress,1384690.5,112295.53181595501,150010.60166164272,597416.7117353001,859722.8452128979,62.0877261173452,65.69127074429433,72.46356669731435,59.34224328833805
Afghanistan,2024,DTP3,static,1384690.5,109084.26915566885,145720.81883615503,580332.6661993589,835137.7541911828,60.31223253074841,63.81272828194919,70.39136006359344,57.64526098665771
Afghanistan,2024,measles1,historical_progress,1349511,100348.36336658163,134050.9112068097,533857.2986923114,768256.5732657027,56.928515089221406,60.23262135141943,66.44216994434926,54.41116954554771
Afghanistan,2024,measles1,static,1349511,97453.46419036687,130183.74427548869,518456.31951983704,746093.5279856926,55.28621315318605,58.4950009251201,64.52541339162732,52.84148923776958
Afghanistan,2025,DTP1,historical_progress,1411513,128462.82944925303,171607.77481710483,672622.3745760967,972692.9788424545,68.9113723247646,72.87348727907882,80.38621792640652,65.83030229720907
Afghanistan,2025,DTP1,static,1411513,125614.2171214676,167802.44042595365,657707.2400085628,951123.8975559841,67.38328995595394,71.25754658150994,78.603685404346,64.37054143510112
Afghanistan,2025,DTP3,historical_progress,1411513,119056.12946914799,159041.78309110436,623369.5525366866,901467.465096939,63.865332100869,67.5373209010131,74.4999313031794,61.00987364898219
Afghanistan,2025,DTP3,static,1411513,112490.3436908665,150270.84217249582,588991.5582166234,851752.7440799857,60.34324473667516,63.81272828194919,70.39136006359344,57.64526098665771
Afghanistan,2025,measles1,historical_progress,1378023,106624.29046776022,142434.6428229117,558277.3145304824,807336.2478211543,58.5865582665278,61.95503970578354,68.34215720122513,55.96711705380703
Afghanistan,2025,measles1,static,1378023,100669.58231599166,134480.01330096155,527098.8798492473,762248.4754662005,55.314641008618906,58.4950009251201,64.52541339162732,52.84148923776958
Afghanistan,2026,DTP1,historical_progress,1431867,133618.17608455237,178494.57287602552,685978.0414711459,998090.7904317238,69.7055515932502,73.66618932426142,81.26064183191724,66.5463900983341
Afghanistan,2026,DTP1,static,1431867,129249.30003601553,172658.3858610312,663548.8097376648,965456.4956347115,67.42640871217169,71.25754658150994,78.603685404346,64.37054143510112
Afghanistan,2026,DTP3,historical_progress,1431867,125783.4830528902,168028.55524818128,645755.7637924985,939567.80209357,65.61837112619887,69.34677712241636,76.49592940307782,62.64444685929622
Afghanistan,2026,DTP3,static,1431867,115745.64182329747,154619.45002480407,594222.814690446,864587.9065385475,60.38185854821345,63.81272828194919,70.39136006359344,57.64526098665771
Afghanistan,2026,measles1,historical_progress,1404818,113285.07302634376,151332.48571115852,581590.579962356,846208.1386998582,60.23614010497148,63.65873018305259,70.22148587202707,57.506146724639
Afghanistan,2026,measles1,static,1404818,104095.86293071286,139057.02903938224,534414.3908480929,777567.282818188,55.35003700252901,58.4950009251201,64.52541339162732,52.84148923776958
Afghanistan,2027,DTP1,historical_progress,1447010,138390.51938091303,184869.73382540588,696747.2279851404,1020007.4811914593,70.49070021571788,74.44834049768795,82.12342714693413,67.25294676401967
Afghanistan,2027,DTP1,static,1447010,132459.21689189321,176946.37088632362,666885.2216421255,976290.8094203423,67.46952746838946,71.25754658150994,78.603685404346,64.37054143510112
Afghanistan,2027,DTP3,historical_progress,1447010,132195.90458957956,176594.62370407852,665559.5375016793,974350.0657953373,67.3354065138,71.11589552024093,78.44743114088432,64.24258087588775
Afghanistan,2027,DTP3,static,1447010,118620.19423154613,158459.43661461817,597210.6462466795,874290.2770928438,60.420472359751756,63.81272828194919,70.39136006359344,57.64526098665771
Afghanistan,2027,measles1,historical_progress,1425186,119627.93846137266,159805.63726741963,602284.2813612139,881717.8570900061,61.866862086072004,65.34032432664613,72.07644023660964,59.02521566105533
Afghanistan,2027,measles1,static,1425186,107095.21942355177,143063.7358496402,539186.4818314388,789345.4371046307,55.38543299643911,58.4950009251201,64.52541339162732,52.84148923776958
Afghanistan,2028,DTP1,historical_progress,1463931.5,143427.7238176143,191598.71098079867,708267.1591504073,1043293.5939488203,71.26655816538002,75.21968656477438,82.97429342712225,67.94974263132326
Afghanistan,2028,DTP1,static,1463931.5,135872.77716469238,181506.39408626826,670959.7233146251,988338.8945655858,67.51264622460722,71.25754658150994,78.603685404346,64.37054143510112
Afghanistan,2028,DTP3,historical_progress,1463931.5,138892.67943185588,185540.54708176793,685872.4441104712,1010305.670624095,69.01317927950147,72.84131362421326,80.35072739990534,65.80123820950193
Afghanistan,2028,DTP3,static,1463931.5,121677.11387882897,162543.03948024026,600859.4537145896,885079.6070736588,60.459086171290046,63.81272828194919,70.39136006359344,57.64526098665771
Afghanistan,2028,measles1,historical_progress,1440161,125673.83659010661,167882.08341990592,620595.857286246,914151.7772962586,63.47566538020809,66.99663597209015,73.90350565993447,60.521445639736065
Afghanistan,2028,measles1,static,1440161,109726.2732813051,146578.44356617358,541844.4481482245,798149.1649957031,55.420828990349214,58.4950009251201,64.52541339162732,52.84148923776958
Afghanistan,2029,DTP1,historical_progress,1482712.5,148749.76310858328,198708.18633742837,720582.6202029687,1068040.5696489804,72.0328836270673,75.979993149558,83.81298213404851,68.63656597659815
Afghanistan,2029,DTP1,static,1482712.5,139504.39759627834,186357.71414450338,675795.6601005329,1001657.7718413146,67.55576498082499,71.25754658150994,78.603685404346,64.37054143510112
Afghanistan,2029,DTP3,historical_progress,1482712.5,145891.59376910375,194890.0851598242,706736.9030160273,1047518.5819449553,70.64879954441304,74.52006687945423,82.20254800104746,67.31774082796059
Afghanistan,2029,DTP3,static,1482712.5,124929.31128024924,166887.5052040329,605190.1433736115,897006.9598578936,60.49769998282834,63.81272828194919,70.39136006359344,57.64526098665771
Afghanistan,2029,measles1,historical_progress,1457936,132104.89051640304,176473.04205558277,639950.5193191337,948528.4518911196,65.0596769605195,68.62468307342958,75.6993926686285,61.992142827930586
Afghanistan,2029,measles1,static,1457936,112604.90171883717,150423.87514204634,545487.4914256275,808516.2682865111,55.45622498425933,58.4950009251201,64.52541339162732,52.84148923776958
Afghanistan,2030,DTP1,historical_progress,1496775.5,153693.7495064483,205312.6376647192,730488.3121785657,1089494.699349733,72.78945301748546,76.72904569271526,84.63925658887146,69.31322297756881
Afghanistan,2030,DTP1,static,1496775.5,142733.94665434293,190671.92495469018,678397.6584405071,1011803.5300495402,67.59888373704274,71.25754658150994,78.603685404346,64.37054143510112
Afghanistan,2030,DTP3,historical_progress,1496775.5,152533.07460794825,203762.1437399661,724971.7609179189,1081266.9792658333,72.23975668133487,76.14959807296894,84.00007210111006,68.78977867158665
Afghanistan,2030,DTP3,static,1496775.5,127821.4447650832,170750.97757136435,607520.2911407526,906092.7134772001,60.536313794366635,63.81272828194919,70.39136006359344,57.64526098665771
Afghanistan,2030,measles1,historical_progress,1477864,138881.8811560735,185526.12214587937,660089.2442514575,984497.2475534104,66.61622771468892,70.22170614427934,77.46105729317412,63.43481444219049
Afghanistan,2030,measles1,static,1477864,115689.2393075066,154544.10441494596,549857.3457303612,820090.6894528137,55.49162097816942,58.4950009251201,64.52541339162732,52.84148923776958
Afghanistan,2031,DTP1,historical_progress,1510577.5,159130.8738252701,212575.8499865804,739260.4653318686,1110967.1891437192,73.5458583981106,77.46664934486773,85.4529018546479,69.97953761694882
Afghanistan,2031,DTP1,static,1510577.5,146376.22447926115,195537.4817502207,680007.2997831849,1021921.0060126667,67.65101466244974,71.25754658150994,78.603685404346,64.37054143510112
Afghanistan,2031,DTP3,historical_progress,1510577.5,159667.2435457871,213292.36241754438,741752.2315092774,1114711.8374726088,73.79375354608477,77.7277599895822,85.74093112252882,70.21541205244475
Afghanistan,2031,DTP3,static,1510577.5,131083.18610083085,175108.19261213797,608961.760999867,915153.1397128358,60.58299820517886,63.81272828194919,70.39136006359344,57.64526098665771
Afghanistan,2031,measles1,historical_progress,1492254,145671.37798944273,194595.9087035741,676732.8557263841,1017000.1424194009,68.15194614451701,71.78518313797044,79.18571748209109,64.84718219035732
Afghanistan,2031,measles1,static,1492254,118702.03596024266,158568.7653364672,551443.728236941,828714.529533651,55.53441502141398,58.4950009251201,64.52541339162732,52.84148923776958
