country,year,vaccine,method,population,urban_poor_population,urban_nonpoor_population,rural_population,urban_poor_zero_dose,urban_nonpoor_zero_dose,rural_zero_dose,total_zero_dose,overall_zero_dose_percent
Afghanistan,2024,DTP1,historical_progress,1384690.5,170944.37441021574,207015.20570778422,1006730.9198820001,47743.89464064816,42437.169552920626,351299.44974323,441480.5139367988,31.882974132977644
Afghanistan,2024,DTP1,static,1384690.5,170944.37441021574,207015.20570778422,1006730.9198820001,49133.60718638549,44293.62467407781,358692.7759593826,452120.0078198459,32.651340340664284
Afghanistan,2024,DTP3,historical_progress,1384690.5,170944.37441021574,207015.20570778422,1006730.9198820001,58648.84259426073,57004.604046141496,409314.2081467,524967.6547871022,37.91227388265481
Afghanistan,2024,DTP3,static,1384690.5,170944.37441021574,207015.20570778422,1006730.9198820001,61860.10525454688,61294.386871629205,426398.2536826412,549552.7458088172,39.68776746925159
Afghanistan,2024,measles1,historical_progress,1349511,166601.35507155184,201755.76944444812,981153.8754840001,66252.9917049702,67704.85823763841,447296.57679168874,581254.4267342973,43.071484910778594
Afghanistan,2024,measles1,static,1349511,166601.35507155184,201755.76944444812,981153.8754840001,69147.89088118497,71572.02516895943,462697.55596416304,603417.4720143075,44.71378684681396
Afghanistan,2025,DTP1,historical_progress,1411513,176281.98436186722,213479.1003281328,1021751.9153100001,47819.1549126142,41871.32551102797,349129.54073390336,438820.0211575455,31.088627675235404
Afghanistan,2025,DTP1,static,1411513,176281.98436186722,213479.1003281328,1021751.9153100001,50667.76724039961,45676.65990217914,364044.6753014372,460389.10244401597,32.616710044046066
Afghanistan,2025,DTP3,historical_progress,1411513,176281.98436186722,213479.1003281328,1021751.9153100001,57225.854892719224,54437.31723702846,398382.3627733135,510045.53490306117,36.13466789913102
Afghanistan,2025,DTP3,static,1411513,176281.98436186722,213479.1003281328,1021751.9153100001,63791.64067100072,63208.25815563697,432760.3570933767,559760.2559200143,39.65675526332484
Afghanistan,2025,measles1,historical_progress,1378023,172099.462729917,208414.028260083,997509.50901,65475.17226215677,65979.38543717128,439232.1944795176,570686.7521788457,41.413441733472204
