"country","dose","slope"
"Afghanistan","DTP1",0.035
"Afghanistan","DTP3",0.074
"Afghanistan","measles1",0.066
"Angola","DTP1",0.029
"Angola","DTP3",0.045
"Angola","measles1",0.022
"Colombia","DTP1",0.009
"Colombia","DTP3",0.04
"Colombia","measles1",0.012
"Democratic Republic of the Congo","DTP1",0.093
"Democratic Republic of the Congo","DTP3",0.084
"Democratic Republic of the Congo","measles1",0.051
"Ethiopia","DTP1",0.07
"Ethiopia","DTP3",0.087
"Ethiopia","measles1",0.057
"Global","DTP1",0.061
"Global","DTP3",0.076
"Global","measles1",0.072
"India","DTP1",0.089
"India","DTP3",0.112
"India","measles1",0.127
"Indonesia","DTP1",0.051
"Indonesia","DTP3",0.059
"Indonesia","measles1",0.059
"Nigeria","DTP1",0.048
"Nigeria","DTP3",0.068
"Nigeria","measles1",0.045
"Pakistan","DTP1",0.05
"Pakistan","DTP3",0.044
"Pakistan","measles1",0.051
"Philippines","DTP1",-0.02
"Philippines","DTP3",0
"Philippines","measles1",-0.027
